BICCode,FullName,CountryCode,Authority
ATHCGRA1,ATHEXCLEAR,GR,HCMC
BACPFRPPXXX,LCH CLEARNET SA,FR,AMF
CAAHATWWXXX,CCP AUSTRIA ABWICKLUNGSSTELLE FUER BOERSENGESCHAEFTE GMBH,AT,FMA
CCBUROB1XXX,BUCHAREST CLEARING HOUSE S.A.,RO,CNVM
CCEGITRRXXX,CASSA DI COMPENSAZIONE E GARANZIA,IT,CONSOB
CSRCRO21XXX,ROMANIAN CLEARING HOUSE S.A.,RO,CNVM
ECCPGB22XXX,EUROCCP,GB,FCA
EEXCDE8LXXX,EUROPEAN COMMODITY CLEARING AG,DE,BaFin
EMCFNL2AXXX,EUROPEAN MULTILATERAL CLEARING FACILITY,NL,NL AFM
EUXCDEFFXXX,EUREX CLEARING AG,DE,BaFin
ICEUGB2LXXX,ICE CLEAR EUROPE,GB,FCA
KCCPPLP1XXX,KDPW_CCP S.A.,PL,Polish FSA
KELRHUHBXXX,KÖZPONTI ELSZÁMOLÓHÁZ ÉS ÉRTÉKTÁR (BUDAPEST) ZRT. (CENTRAL CLEARING HOUSE AND DEPOSITORY/BUDAPEST),HU,MNB
LCHLGB2EXXX,THE LONDON CLEARING HOUSE LIMITED,GB,FCA
LCHLGB2LXXX,LCH.CLEARNET,GB,FCA
MEFFESBBXXX,BME CLEARING,ES,CNMV
NYXLGB21XXX,LIFFE ADMINISTRATION AND MANAGEMENT,GB,FCA
OMECSESSXXX,NASDAQ OMX STOCKHOLM AB,SE,Finansinspektionen
OMICPTPLXXX,OMICLEAR  CC, SA,PT,CMVM
OSCLNOKKXXX,OSLO CLEARING ASA,NO,Finanstilsynet Norway
SDAHHR22XXX,CENTRAL DEPOSITORY AND CLEARING COMPANY INC.,HR,HANFA